Date,NVIDIA Close,NVIDIA Open,NVIDIA Price Change,AMD Close,AMD Open,AMD Price Change
11/29/2024,138.25,136.78,1.47,137.18,136.24,0.94
11/27/2024,135.34,135.01,0.33,136.24,137.20,-0.96
11/26/2024,136.92,137.70,-0.78,137.72,142.55,-4.83
11/25/2024,136.02,141.99,-5.97,141.13,140.49,0.64
11/22/2024,141.95,145.93,-3.98,138.35,137.35,1.00
11/21/2024,146.67,149.35,-2.68,137.49,138.87,-1.38
11/20/2024,145.89,147.41,-1.52,137.60,138.96,-1.36
11/19/2024,147.01,141.32,5.69,139.39,137.41,1.98
11/18/2024,140.15,139.50,0.65,138.93,138.19,0.75
11/15/2024,141.98,144.87,-2.89,134.90,136.58,-1.67
11/14/2024,146.76,147.64,-0.88,138.84,140.34,-1.50
11/13/2024,146.27,149.07,-2.80,139.30,142.86,-3.56
11/12/2024,148.29,146.78,1.51,143.63,147.00,-3.37
11/11/2024,145.26,148.68,-3.42,147.35,147.38,-0.03
11/08/2024,147.63,148.77,-1.14,147.95,149.39,-1.44
11/07/2024,148.88,146.39,2.49,149.82,146.68,3.14
11/06/2024,145.61,142.96,2.65,145.10,144.95,0.15
11/05/2024,139.91,137.45,2.46,141.66,141.94,-0.28
11/04/2024,136.05,137.21,-1.16,140.71,141.70,-0.99
11/01/2024,135.40,134.70,0.70,141.86,144.44,-2.58
10/31/2024,132.76,137.60,-4.84,144.07,147.80,-3.73
10/30/2024,139.34,139.54,-0.20,148.60,153.01,-4.41
10/29/2024,141.25,140.29,0.97,166.25,161.10,5.15
10/28/2024,140.52,143.00,-2.48,159.92,158.50,1.42
10/25/2024,141.54,140.93,0.61,156.23,155.40,0.83
10/24/2024,140.41,140.82,-0.41,153.44,154.74,-1.30
10/23/2024,139.56,142.03,-2.47,152.91,153.00,-0.09
10/22/2024,143.59,142.91,0.68,154.09,156.60,-2.51
10/21/2024,143.71,138.13,5.58,157.90,155.76,2.14
10/18/2024,138.00,138.67,-0.66,155.97,157.41,-1.44
10/17/2024,136.93,139.34,-2.41,156.25,160.00,-3.75
10/16/2024,135.72,133.98,1.74,156.13,158.08,-1.94
10/15/2024,131.60,137.87,-6.27,156.64,163.21,-6.57
10/14/2024,138.07,136.47,1.60,165.27,167.77,-2.50
10/11/2024,134.80,134.01,0.79,167.89,164.19,3.70
10/10/2024,134.81,131.91,2.90,164.18,169.76,-5.58
10/09/2024,132.65,134.11,-1.46,171.02,174.05,-3.03
10/08/2024,132.89,130.26,2.63,172.80,171.75,1.05
10/07/2024,127.72,124.99,2.73,170.97,171.08,-0.11
10/04/2024,124.92,124.94,-0.02,170.90,166.53,4.37
10/03/2024,122.85,120.92,1.93,162.85,159.71,3.14
10/02/2024,118.85,116.44,2.41,159.78,159.31,0.47
10/01/2024,117.00,121.77,-4.77,159.75,164.48,-4.73
09/30/2024,121.44,118.31,3.13,164.08,163.10,0.98
09/27/2024,121.40,123.97,-2.57,164.35,167.48,-3.13
09/26/2024,124.04,126.80,-2.76,167.49,167.06,0.44
09/25/2024,123.51,122.02,1.49,162.02,158.50,3.52
09/24/2024,120.87,116.52,4.36,158.32,157.46,0.86
09/23/2024,116.26,116.55,-0.29,156.75,156.45,0.31
09/20/2024,116.00,117.06,-1.06,155.95,156.00,-0.05
09/19/2024,117.87,117.35,0.52,156.74,153.81,2.93
09/18/2024,113.37,115.89,-2.52,148.29,150.90,-2.61
09/17/2024,115.59,118.17,-2.58,150.82,153.55,-2.73
09/16/2024,116.78,116.79,-0.01,152.08,151.70,0.38
09/13/2024,119.10,119.08,0.02,152.31,152.32,-0.01
09/12/2024,119.14,116.84,2.30,150.77,148.43,2.34
09/11/2024,116.91,109.39,7.52,149.86,145.33,4.54
09/10/2024,108.10,107.81,0.29,142.84,139.06,3.78
09/09/2024,106.47,104.88,1.59,138.15,136.10,2.05
09/06/2024,102.83,108.04,-5.21,134.35,138.70,-4.35
09/05/2024,107.21,104.99,2.22,139.44,138.20,1.24
09/04/2024,106.21,105.41,0.80,140.87,140.51,0.37
09/03/2024,108.00,116.01,-8.01,136.94,146.41,-9.47
08/30/2024,119.37,119.53,-0.16,148.56,147.52,1.04
08/29/2024,117.59,121.36,-3.77,145.49,146.59,-1.10
08/28/2024,125.61,128.12,-2.51,146.36,149.40,-3.04
08/27/2024,128.30,125.05,3.25,150.50,150.13,0.37
08/26/2024,126.46,129.57,-3.11,149.99,154.70,-4.71
08/23/2024,129.37,125.86,3.51,154.98,153.60,1.38
08/22/2024,123.74,130.02,-6.28,151.70,158.87,-7.17
08/21/2024,128.50,127.32,1.19,157.81,156.12,1.69
08/20/2024,127.25,128.40,-1.15,156.40,156.49,-0.09
08/19/2024,130.00,124.28,5.72,155.28,148.43,6.85
08/16/2024,124.58,121.94,2.64,148.56,145.70,2.86
08/15/2024,122.86,118.76,4.10,147.36,143.00,4.36
08/14/2024,118.08,118.53,-0.45,140.75,143.00,-2.25
08/13/2024,116.14,112.44,3.70,141.13,138.12,3.01
08/12/2024,109.02,106.32,2.70,136.77,134.44,2.33
08/09/2024,104.75,105.64,-0.89,134.27,134.69,-0.42
08/08/2024,104.97,102.00,2.97,136.32,131.97,4.35
08/07/2024,98.91,107.81,-8.90,128.67,133.75,-5.08
08/06/2024,104.25,103.84,0.41,130.18,135.15,-4.97
08/05/2024,100.45,92.06,8.39,134.82,122.16,12.66
08/02/2024,107.27,103.76,3.51,132.50,133.50,-1.00
08/01/2024,109.21,117.53,-8.32,132.54,145.00,-12.46
07/31/2024,117.02,112.90,4.12,144.48,150.73,-6.25
07/30/2024,103.73,111.52,-7.79,138.44,139.88,-1.44
07/29/2024,111.59,113.69,-2.10,139.75,141.19,-1.44
07/26/2024,113.06,116.19,-3.13,139.99,140.32,-0.33
07/25/2024,112.28,113.04,-0.76,138.32,144.07,-5.75
07/24/2024,114.25,119.17,-4.92,144.63,152.72,-8.09
07/23/2024,122.59,122.78,-0.19,154.00,154.95,-0.95
07/22/2024,123.54,120.35,3.19,155.87,154.23,1.64
07/19/2024,117.93,120.35,-2.42,151.58,154.86,-3.28
07/18/2024,121.09,121.85,-0.76,155.77,163.41,-7.64
07/17/2024,117.99,121.35,-3.36,159.43,169.80,-10.37
07/16/2024,126.36,128.44,-2.08,177.55,179.69,-2.14
07/15/2024,128.44,130.56,-2.12,179.83,184.45,-4.62
07/12/2024,129.24,128.26,0.98,181.61,182.02,-0.40
07/11/2024,127.40,135.75,-8.35,181.94,184.07,-2.13
07/10/2024,134.91,134.03,0.88,183.96,179.99,3.97
07/09/2024,131.38,130.35,1.03,177.10,177.97,-0.87
07/08/2024,128.20,127.49,0.71,178.69,174.90,3.79
07/05/2024,125.83,127.38,-1.55,171.90,165.97,5.93
07/03/2024,128.28,121.66,6.62,163.90,164.20,-0.30
07/02/2024,122.67,121.13,1.54,164.31,157.04,7.27
07/01/2024,124.30,123.47,0.83,157.69,161.25,-3.56
06/28/2024,123.54,124.58,-1.04,162.21,160.23,1.98
06/27/2024,123.99,124.10,-0.11,159.47,157.18,2.29
06/26/2024,126.40,126.13,0.27,157.54,160.60,-3.06
06/25/2024,126.09,121.20,4.89,160.25,160.73,-0.48
06/24/2024,118.11,123.24,-5.13,160.25,159.75,0.50
06/21/2024,126.57,127.12,-0.55,161.23,161.75,-0.52
06/20/2024,130.78,139.80,-9.02,161.78,155.83,5.96
06/18/2024,135.58,131.14,4.44,154.63,156.99,-2.36
06/17/2024,130.98,132.99,-2.01,158.40,158.00,0.40
06/14/2024,131.88,129.96,1.92,159.63,158.50,1.13
06/13/2024,129.61,129.39,0.22,159.90,160.40,-0.50
06/12/2024,125.20,123.06,2.14,160.24,160.32,-0.08
06/11/2024,120.91,121.77,-0.86,158.96,160.50,-1.54
06/10/2024,121.79,120.37,1.42,160.34,162.48,-2.14
06/07/2024,120.89,119.77,1.12,167.87,166.59,1.28
06/06/2024,121.00,124.05,-3.05,166.78,165.46,1.32
06/05/2024,122.44,118.37,4.07,166.17,162.07,4.10
06/04/2024,116.44,115.72,0.72,159.99,162.84,-2.85