Date,NVIDIA Close,NVIDIA Open,NVIDIA Price Change,BTC Close/Last,BTC Open,BTC Price Change,BTC Log Price Change
11/29/2024,138.25,136.78,1.47,96672.1,96258.8,413.3,6.024173722
11/27/2024,135.34,135.01,0.33,95649.2,92538.4,3110.8,8.042635207
11/26/2024,136.92,137.70,-0.78,92549.2,94300.6,-1751.4,-7.468170747
11/25/2024,136.02,141.99,-5.97,94440.2,97814.6,-3374.4,-8.12397281
11/22/2024,141.95,145.93,-3.98,98429.4,98804.5,-375.1,-5.927192657
11/21/2024,146.67,149.35,-2.68,98817,97487.4,1329.6,7.192633424
11/20/2024,145.89,147.41,-1.52,96865.2,92147.2,4718,8.45914026
11/19/2024,147.01,141.32,5.69,92191.1,91506.8,684.3,6.528396418
11/18/2024,140.15,139.50,0.65,91376,90445.6,930.4,6.835614601
11/15/2024,141.98,144.87,-2.89,91239.9,87443.8,3796.1,8.241729503
11/14/2024,146.76,147.64,-0.88,87221.6,90100.6,-2879,-7.965198291
11/13/2024,146.27,149.07,-2.80,90015.6,87216,2799.6,7.937231829
11/12/2024,148.29,146.78,1.51,86313.8,88474.4,-2160.6,-7.67814124
11/11/2024,145.26,148.68,-3.42,88728.2,81468,7260.2,8.890162656
11/08/2024,147.63,148.77,-1.14,76369.6,75849.1,520.5,6.254789888
11/07/2024,148.88,146.39,2.49,75901.8,74730.5,1171.3,7.065869522
11/06/2024,145.61,142.96,2.65,74675.1,74457.1,218,5.384495063
11/05/2024,139.91,137.45,2.46,74552.9,68335.7,6217.2,8.735074924
11/04/2024,136.05,137.21,-1.16,68346,69038.4,-692.4,-6.540163823
11/01/2024,135.40,134.70,0.70,69671.2,69557.6,113.6,4.732683506
10/31/2024,132.76,137.60,-4.84,69369.8,72551.6,-3181.8,-8.065202353
10/30/2024,139.34,139.54,-0.20,72354.7,72339.2,15.5,2.740840024
10/29/2024,141.25,140.29,0.97,72233.8,71181.8,1052,6.958448393
10/28/2024,140.52,143.00,-2.48,70943.7,67724.5,3219.2,8.07688816
10/25/2024,141.54,140.93,0.61,66884.2,67995.5,-1111.3,-7.01328578
10/24/2024,140.41,140.82,-0.41,68017.3,67216.5,800.8,6.685611228
10/23/2024,139.56,142.03,-2.47,67266.7,67074.9,191.8,5.256453162
10/22/2024,143.59,142.91,0.68,67342.3,67494,-151.7,-5.021904886
10/21/2024,143.71,138.13,5.58,67362.9,68936.7,-1573.8,-7.361248356
10/18/2024,138.00,138.67,-0.66,68498.7,67555.8,942.9,6.848960232
10/17/2024,136.93,139.34,-2.41,67633.2,67604.5,28.7,3.356897123
10/16/2024,135.72,133.98,1.74,67656.3,67096.7,559.6,6.327222243
10/15/2024,131.60,137.87,-6.27,67171.2,65392.1,1779.1,7.483862897
10/14/2024,138.07,136.47,1.60,65448.3,64277.3,1171,7.065613364
10/11/2024,134.80,134.01,0.79,62538,60612.4,1925.6,7.562992886
10/10/2024,134.81,131.91,2.90,60659.6,60857.1,-197.5,-5.285738584
10/09/2024,132.65,134.11,-1.46,60888.8,62389.1,-1500.3,-7.313420367
10/08/2024,132.89,130.26,2.63,62369.5,62624.1,-254.6,-5.539693686
10/07/2024,127.72,124.99,2.73,62596.4,63529.7,-933.3,-6.838726693
10/04/2024,124.92,124.94,-0.02,61931.3,60950.6,980.7,6.888266602
10/03/2024,122.85,120.92,1.93,60970,61463.2,-493.2,-6.200914771
10/02/2024,118.85,116.44,2.41,61336.2,61748.2,-412,-6.021023349
10/01/2024,117.00,121.77,-4.77,61774.4,63722.2,-1947.8,-7.57445581
09/30/2024,121.44,118.31,3.13,63686.5,64546.9,-860.4,-6.757397397
09/27/2024,121.40,123.97,-2.57,66069.1,65373.5,695.6,6.544774782
09/26/2024,124.04,126.80,-2.76,65355,63502.3,1852.7,7.524399314
09/25/2024,123.51,122.02,1.49,63503.9,64456.8,-952.9,-6.859509966
09/24/2024,120.87,116.52,4.36,64401.6,63125.5,1276.1,7.151563831
09/23/2024,116.26,116.55,-0.29,63130,64350.8,-1220.8,-7.107261661
09/20/2024,116.00,117.06,-1.06,62952.5,63705.7,-753.2,-6.624330797
09/19/2024,117.87,117.35,0.52,63563.7,62116,1447.7,7.277731369
09/18/2024,113.37,115.89,-2.52,62087.1,60513.2,1573.9,7.361311895
09/17/2024,115.59,118.17,-2.58,60579.3,58056,2523.3,7.833322848
09/16/2024,116.78,116.79,-0.01,58111.1,58576.1,-465,-6.142037406
09/13/2024,119.10,119.08,0.02,60350.7,58053,2297.7,7.739663902
09/12/2024,119.14,116.84,2.30,57907.8,57946.6,-38.8,-3.658420247
09/11/2024,116.91,109.39,7.52,58259.2,56926.3,1332.9,7.195112299
09/10/2024,108.10,107.81,0.29,56777.6,56777.3,0.3,-1.203972804
09/09/2024,106.47,104.88,1.59,56595.3,55119.8,1475.5,7.296752194
09/06/2024,102.83,108.04,-5.21,53836.6,56593.9,-2757.3,-7.922007219
09/05/2024,107.21,104.99,2.22,56680.2,57123.4,-443.2,-6.094021135
09/04/2024,106.21,105.41,0.80,57118.7,56653.4,465.3,6.142682359
09/03/2024,108.00,116.01,-8.01,56734.5,59109.7,-2375.2,-7.772836923
08/30/2024,119.37,119.53,-0.16,59254.6,59036.3,218.3,5.385870264
08/29/2024,117.59,121.36,-3.77,59076.9,59143.5,-66.6,-4.198704578
08/28/2024,125.61,128.12,-2.51,59192.7,62764.5,-3571.8,-8.180824949
08/27/2024,128.30,125.05,3.25,59309.4,62920.6,-3611.2,-8.191795406
08/26/2024,126.46,129.57,-3.11,62960,64118.4,-1158.4,-7.054795022
08/23/2024,129.37,125.86,3.51,63817.1,60597,3220.1,8.077167694
08/22/2024,123.74,130.02,-6.28,60581.8,60552.2,29.6,3.387774361
08/21/2024,128.50,127.32,1.19,60445.6,59299.9,1145.7,7.043771083
08/20/2024,127.25,128.40,-1.15,59233.1,60604.6,-1371.5,-7.22366031
08/19/2024,130.00,124.28,5.72,60587.7,58743.2,1844.5,7.519963517
08/16/2024,124.58,121.94,2.64,59041.2,57892.4,1148.8,7.046473198
08/15/2024,122.86,118.76,4.10,57900.2,58443.1,-542.9,-6.296925141
08/14/2024,118.08,118.53,-0.45,58475.9,60966,-2490.1,-7.820078149
08/13/2024,116.14,112.44,3.70,61064.2,59030.1,2034.1,7.61780874
08/12/2024,109.02,106.32,2.70,58960.6,58511.4,449.2,6.107468223
08/09/2024,104.75,105.64,-0.89,60507.3,61365.8,-858.5,-6.75518668
08/08/2024,104.97,102.00,2.97,61285.7,57079.9,4205.8,8.344219804
08/07/2024,98.91,107.81,-8.90,57209.1,56883.1,326,5.786897381
08/06/2024,104.25,103.84,0.41,56789.1,55682.9,1106.2,7.008685998
08/05/2024,100.45,92.06,8.39,55701.4,53942.4,1759,7.472500745
08/02/2024,107.27,103.76,3.51,61813.9,64598.8,-2784.9,-7.931967245
08/01/2024,109.21,117.53,-8.32,64471.7,63941.2,530.5,6.273819958
07/31/2024,117.02,112.90,4.12,64036.6,66070.9,-2034.3,-7.617907058
07/30/2024,103.73,111.52,-7.79,66047,66609.6,-562.6,-6.332568896
07/29/2024,111.59,113.69,-2.10,66545.2,69350.6,-2805.4,-7.93930141
07/26/2024,113.06,116.19,-3.13,67792.4,67049.9,742.5,6.610022871
07/25/2024,112.28,113.04,-0.76,67092,64113.7,2978.3,7.999107947
07/24/2024,114.25,119.17,-4.92,63991.8,66054.4,-2062.6,-7.631722602
07/23/2024,122.59,122.78,-0.19,66054.5,67649.9,-1595.4,-7.374879767
07/22/2024,123.54,120.35,3.19,67486.8,67051.3,435.5,6.076494796
07/19/2024,117.93,120.35,-2.42,66670.6,63814.4,2856.2,7.957247349
07/18/2024,121.09,121.85,-0.76,64290.3,64700.2,-409.9,-6.015913228
07/17/2024,117.99,121.35,-3.36,64919.9,65621.9,-702,-6.553933404
07/16/2024,126.36,128.44,-2.08,65758,64762.8,995.2,6.902943722
07/15/2024,128.44,130.56,-2.12,64773.5,62653.1,2120.4,7.659360029
07/12/2024,129.24,128.26,0.98,57861.7,56918,943.7,6.849808319
07/11/2024,127.40,135.75,-8.35,56919.7,57566.6,-646.9,-6.472191723
07/10/2024,134.91,134.03,0.88,57454.5,58181.8,-727.3,-6.589339047
07/09/2024,131.38,130.35,1.03,58151,57167.8,983.2,6.890812558
07/08/2024,128.20,127.49,0.71,57200.8,55174.9,2025.9,7.613769325
07/05/2024,125.83,127.38,-1.55,56399.9,55226.5,1173.4,7.067660796
07/03/2024,128.28,121.66,6.62,59045.5,60957.5,-1912,-7.555905094
07/02/2024,122.67,121.13,1.54,60947.2,63118.8,-2171.6,-7.683219502
07/01/2024,124.30,123.47,0.83,63111.8,63426.4,-314.6,-5.751301991
06/28/2024,123.54,124.58,-1.04,60745,61814.6,-1069.6,-6.975040026
06/27/2024,123.99,124.10,-0.11,61805.1,61006.2,798.9,6.683235781
06/26/2024,126.40,126.13,0.27,61028.5,61934.9,-906.4,-6.80948071
06/25/2024,126.09,121.20,4.89,61963.8,61299.1,664.7,6.499335811
06/24/2024,118.11,123.24,-5.13,61376.3,62857.1,-1480.8,-7.300337761
06/21/2024,126.57,127.12,-0.55,64275.7,64512.9,-237.2,-5.468903667
06/20/2024,130.78,139.80,-9.02,64696.4,65179,-482.6,-6.179188153
06/18/2024,135.58,131.14,4.44,65430.8,65483.4,-52.6,-3.96271612
06/17/2024,130.98,132.99,-2.01,65502.2,66231.8,-729.6,-6.592496439
06/14/2024,131.88,129.96,1.92,66235,66736.2,-501.2,-6.217005223
06/13/2024,129.61,129.39,0.22,66738.9,67455.8,-716.9,-6.574936361
06/12/2024,125.20,123.06,2.14,67322.9,67403.4,-80.5,-4.388257184
06/11/2024,120.91,121.77,-0.86,67389.8,68456.9,-1067.1,-6.972699968
06/10/2024,121.79,120.37,1.42,68320.5,69612.3,-1291.8,-7.163791874
06/07/2024,120.89,119.77,1.12,69485.6,70990.7,-1505.1,-7.31661462
06/06/2024,121.00,124.05,-3.05,70979.2,71053.3,-74.1,-4.305415532
06/05/2024,122.44,118.37,4.07,71053.7,70838.6,215.1,5.371103036
06/04/2024,116.44,115.72,0.72,70873.9,69136.7,1737.2,7.460029901
06/03/2024,115.00,113.62,1.38,69154.6,68408.1,746.5,6.615395617