date,open,high,low,close,volume,change,Mkt-RF,SMB,HML,RMW,CMA
9/30/2022,132.54,138.249,128.27,129.7,138652720,-2.84,-9.36,-0.96,0.05,-1.4,-0.82
8/31/2022,131.06,142.72,125.12,132.55,208094056,1.49,-3.78,1.51,0.31,-4.8,1.31
7/29/2022,121.94,133.39,120.06,132.05,157646467,10.11,9.57,1.88,-4.1,0.68,-6.94
6/30/2022,128.5,128.92,117.9029,121.58,170929925,-6.92,-8.43,1.3,-5.97,1.85,-4.7
5/31/2022,154.96,154.99,117.27,128.63,272075714,-26.33,-0.34,-0.06,8.41,1.44,3.98
4/29/2022,149.66,160.77,148.8397,152.99,142211450,3.33,-9.46,-0.4,6.19,3.63,5.92
3/31/2022,135.87,150.54,135.02,148.92,185368469,13.05,3.05,-2.15,-1.8,-1.56,3.17
2/28/2022,139.21,141.99,132.01,135.16,162575143,-4.05,-2.29,2.96,3.04,-2.08,3.13
1/31/2022,144,146.63,133.95,139.81,164148268,-4.19,-6.25,-4.05,12.75,0.87,7.71
12/31/2021,140.51,146.526,135.24,144.69,238679891,4.18,3.1,-0.77,3.28,4.92,4.43
11/30/2021,149.98,152,140.01,140.63,177796882,-9.35,-1.55,-1.76,-0.44,7.22,1.74
10/29/2021,139.26,150.55,134.705,149.42,138004539,10.16,6.65,-2.7,-0.48,1.68,-1.44
9/30/2021,147.56,149.6473,139.25,139.38,151267046,-8.18,-4.37,1.14,5.08,-1.9,2.14
8/31/2021,142.83,152.57,141.67,148.1,181419932,5.27,2.91,-0.67,-0.16,-0.3,-1.76
7/30/2021,140.41,143.86,138.2209,142.55,131834193,2.14,1.27,-4.62,-1.76,5.49,-0.48
6/30/2021,142.21,142.8,134.4,141.02,169059406,-1.19,2.75,-0.34,-7.82,-2.18,-0.95
5/28/2021,139.68,144.58,135.76,142.03,172628671,2.35,0.29,1.23,7.08,2.53,3.01
4/30/2021,135.94,141.77,135.33,139.91,153126079,3.97,4.93,-3.15,-0.94,2.48,-2.69
3/31/2021,131.58,137.59,126.28,135.83,246556675,4.25,3.08,-0.86,7.4,6.46,3.41
2/26/2021,140.91,147.5,129.86,129.92,184552398,-10.99,2.78,4.53,7.18,0.3,-1.94
1/29/2021,144.3,149.93,140.35,140.49,150167606,-3.81,-0.03,6.91,2.96,-3.8,4.9
12/31/2020,153.6,153.6597,142.3,144.15,170017189,-9.45,4.63,4.79,-1.51,-1.98,-0.11
11/30/2020,140.59,153.4,139.03,152.79,137960066,12.2,12.47,7.12,2.14,-2.21,1.37
10/30/2020,140.8,146.605,137.37,138.75,129013525,-2.05,-2.1,4.64,4.21,-0.75,-0.76
9/30/2020,141.2,151.33,134.75,139.91,268778437,-1.29,-3.63,0.02,-2.68,-1.4,-1.89
8/31/2020,129.91,141.07,128.2713,138.85,229592388,8.94,7.63,-0.89,-2.95,4.26,-1.2
7/31/2020,119.45,134.13,118.22,129.4,197222721,9.95,5.77,-3.2,-1.38,0.41,0.96
6/30/2020,123.44,124.41,117.01,119.78,185705878,-3.66,2.46,1.97,-2.17,0.09,0.53
5/29/2020,121.48,131.99,120.78,124.06,186708076,2.58,5.58,1.98,-4.89,0.95,-3.25
4/30/2020,112.15,133.38,111.8,121.55,207003286,9.4,13.65,2.59,-1.23,2.7,-1.01
3/31/2020,107.6,128.08,102,113.62,318734300,6.02,-13.39,-8.31,-13.97,-1.5,1.26
2/28/2020,114.9,119.95,104.37,107.68,132355144,-7.22,-8.13,0.03,-3.79,-1.47,-2.51
1/31/2020,118.86,119.89,112.68,114.49,127888574,-4.37,-0.11,-4.37,-6.22,-1.18,-2.32
12/31/2019,119.15,122.12,117.42,118.84,98426399,-0.31,2.77,0.97,1.76,0,1.23
11/29/2019,117.92,125.38,117.08,119.09,116899196,1.17,3.87,0.44,-2.01,-1.59,-1.25
10/31/2019,118.85,120.71,114.58,117.26,98902760,-1.59,2.06,0.26,-1.92,0.44,-0.96
9/30/2019,113.68,119.86,113.49,118.68,107294158,5,1.43,0.27,6.74,1.84,3.36
8/30/2019,110.32,115.38,104.84,114.26,157363365,3.94,-2.58,-3.23,-4.76,0.55,-0.69
7/31/2019,111.3,115.49,109.63,110.38,91294745,-0.92,1.19,-1.78,0.47,-0.07,0.37
6/28/2019,101.63,112.22,101.4,110.49,121526002,8.86,6.93,0.36,-0.72,0.91,-0.43
5/31/2019,102.77,103.96,98.85,101.44,155765843,-1.33,-6.94,-1.58,-2.34,-0.47,1.75
4/30/2019,97.97,104.15,96.79,102.84,110608470,4.87,3.97,-1.17,2.14,1.61,-2.2
3/29/2019,99.47,100.49,95,97.53,141148758,-1.94,1.1,-3.5,-4.1,0.89,-0.96
2/28/2019,95.92,104.18,93.11,98.99,166799543,3.07,3.4,1.74,-2.68,0.12,-1.6
1/31/2019,91.64,99.35,91.64,95.83,160743604,4.19,8.4,3.02,-0.45,-0.79,-1.51
12/31/2018,98.02,99.59,85.78,93.15,186312324,-4.87,-9.57,-2.88,-1.86,-0.02,0.22
11/30/2018,99.96,106.21,93.31,97.65,191936504,-2.31,1.69,-0.77,0.27,-0.55,0.37
10/31/2018,94.29,102.6,92.89,100.28,216422336,5.99,-7.68,-4.45,3.44,0.93,3.59
9/28/2018,95.8,97.66,93.69,93.91,127212992,-1.89,0.06,-2.49,-1.69,0.64,1.3
8/31/2018,88.86,100.21,87.62,95.86,205661127,7,3.44,0.63,-3.99,-0.29,-2.65
7/31/2018,85.65,89.66,83.4,89.23,117607833,3.58,3.19,-1.93,0.47,1.56,0.35
6/29/2018,83.04,87.49,82.37,85.65,185816537,2.61,0.48,0.81,-2.33,0.79,0.24
5/31/2018,87.67,88.1,81.78,82.54,248483627,-5.13,2.65,4.74,-3.18,-2.04,-1.47
4/30/2018,88,89.66,84.84,88.46,164177842,0.46,0.28,0.93,0.54,-2.43,1.27
3/29/2018,90.17,90.5,85.28,88.97,250996773,-1.2,-2.35,3.58,-0.23,-0.46,0
2/28/2018,105.96,106.56,90,90.01,300297591,-15.95,-3.65,0.31,-1.07,0.54,-2.39
1/31/2018,99.3,109.98,98.52,106.6,161238958,7.3,5.57,-3.21,-1.33,-0.72,-1
12/29/2017,97.61,99.91,96.138,98.75,161482522,1.14,1.06,-1.07,0.05,0.74,1.66
11/30/2017,87.07,100.13,87,97.23,219160315,10.16,3.12,-0.36,-0.08,3.19,-0.07
10/31/2017,77.9,89.11,77.5,87.31,194446820,9.41,2.25,-1.93,0.21,0.92,-3.24
9/29/2017,78.31,81.12,77.73,78.14,159207322,-0.17,2.51,4.77,3.12,-1.46,1.68
8/31/2017,80.25,81.99,77.5,78.07,201324819,-2.18,0.16,-1.82,-2.09,0.15,-2.37
7/31/2017,75.84,80.34,73.13,79.99,141394475,4.15,1.87,-1.66,-0.24,-0.69,-0.12
6/30/2017,78.64,80.475,73.29,75.68,245842580,-2.96,0.78,2.57,1.48,-2.25,0.01
5/31/2017,75.09,79.44,74.96,78.6,179004446,3.51,1.06,-3.03,-3.78,0.95,-1.81
4/28/2017,72.08,75.7663,71.38,75.18,127293205,3.1,1.09,0.47,-2.1,1.91,-1.6
3/31/2017,70.97,72.56,69.33,72.08,191105194,1.11,0.17,0.74,-3.32,0.62,-0.94
2/28/2017,66.46,72.8,66.04,70.93,207958861,4.47,3.57,-2.21,-1.68,0.45,-1.83
1/31/2017,69.24,69.63,65.28,66.74,181529324,-2.5,1.94,-1.43,-2.76,-0.5,-0.99
12/30/2016,70.25,72.48,68.83,69.12,162512660,-1.13,1.81,0.39,3.56,1.23,-0.22
11/30/2016,69.98,72.09,68.12,70.43,210402048,0.45,4.86,7.04,8.19,-0.21,3.69
10/31/2016,71.83,72.57,67.07,70.02,170697840,-1.81,-2.02,-4.04,4.12,0.96,0.28
9/30/2016,71.57,73.19,70.3,72.12,177000967,0.55,0.25,1.86,-1.23,-2.23,0.03
8/31/2016,72.81,75.19,70.89,71.44,212441767,-1.37,0.49,1.7,3.13,-1.88,-0.34
7/29/2016,73.13,74.35,72.415,72.97,137444232,-0.16,3.95,2.49,-1.27,1.25,-1.19
6/30/2016,70.5,73.195,70.145,73.02,185958839,2.52,-0.05,0.44,-1.48,1.39,1.91
5/31/2016,66.62,71.375,62.72,70.78,232972261,4.16,1.78,-0.62,-1.66,-1.07,-2.49
4/29/2016,68.02,70.08,66.36,66.87,141246809,-1.15,0.91,1.22,3.28,-2.92,1.86
3/31/2016,66.65,69.19,64.88,68.49,202980432,1.84,6.96,1.08,1.19,0.76,-0.04
2/29/2016,65.91,68.2,62.35,66.34,263071454,0.43,-0.07,0.85,-0.57,3.28,1.99
1/29/2016,60.5,66.53,60.2,66.36,264648837,5.86,-5.77,-3.48,2.09,2.8,3.07
12/31/2015,59.13,61.87,58.315,61.3,226939706,2.17,-2.17,-2.97,-2.61,0.45,0.03
11/30/2015,57.29,61.47,56.3,58.84,224579683,1.55,0.56,3.29,-0.42,-2.71,-1.03
10/30/2015,64.76,67.95,57.16,57.24,347128402,-7.52,7.75,-2.05,-0.46,0.86,0.55
9/30/2015,63.98,67.01,62.915,64.84,190596569,0.86,-3.07,-2.8,0.56,1.8,-0.6
8/31/2015,71.84,73.695,61.5,64.73,227341577,-7.11,-6.04,0.24,2.77,0.69,1.24
7/31/2015,71.6,74.14,70.36,71.98,150419189,0.38,1.54,-4.58,-4.13,0.31,-2.46
6/30/2015,74.69,75.2,70.78,70.93,176549427,-3.76,-1.53,2.89,-0.79,0.45,-1.57
5/29/2015,78.2,79.94,74.15,74.27,151099118,-3.93,1.36,0.82,-1.14,-1.78,-0.72
4/30/2015,82.28,82.28,77.55,78.05,143609932,-4.23,0.59,-3.06,1.82,0.02,-0.65
3/31/2015,83.89,84,80.54,82.25,142500798,-1.64,-1.12,3.07,-0.37,0.09,-0.51
2/27/2015,84.79,88,82.55,83.93,138527911,-0.86,6.13,0.31,-1.86,-1.1,-1.79
1/30/2015,86.27,90.97,84.9,84.98,158867265,-1.29,-3.11,-0.91,-3.58,1.6,-1.66
12/31/2014,86.72,87.44,82.65,85.88,138964502,-0.84,-0.06,2.86,2.27,-1.22,0.96
11/28/2014,76.35,88.09,75.59,87.54,159245373,11.19,2.55,-2.28,-3.09,1.5,0.26
10/31/2014,76.51,79.37,72.61,76.27,177410316,-0.24,2.52,3.72,-1.81,-0.55,-0.09
9/30/2014,75.42,77.73,75.41,76.47,119362584,1.05,-1.97,-3.73,-1.34,1.31,-0.49
8/29/2014,73.32,76.2,72.77,75.5,103445021,2.18,4.24,0.31,-0.45,-0.63,-0.69
7/31/2014,75.27,77.569,73.54,73.58,120184800,-1.69,-2.04,-4.29,0.03,0.88,0.51
6/30/2014,76.58,77.76,74.67,75.07,125888500,-1.51,2.61,3.1,-0.7,-1.89,-1.98
5/30/2014,79.73,79.76,75.24,76.77,121597900,-2.96,2.06,-1.89,-0.13,0.05,-1.01
4/30/2014,76.76,79.985,76.29,79.71,133598600,2.95,-0.19,-4.14,1.17,3.48,1.04
3/31/2014,74.49,77.525,73.825,76.43,143316900,1.94,0.43,-1.13,4.93,2.13,1.98
2/28/2014,74.19,75.985,72.27,74.7,140708800,0.51,4.65,0.16,-0.31,-0.23,-0.47
1/31/2014,78.72,79.47,73.64,74.68,146048800,-4.04,-3.32,0.58,-2.07,-3.88,-1.43
12/31/2013,80.89,81.37,76.81,78.69,117743800,-2.2,2.81,-0.44,-0.02,-0.46,0.08
11/29/2013,76.97,81.35,76.59,81.01,113143600,4.04,3.13,1.4,0.32,0.14,0.05
10/31/2013,73.87,77.6301,71.51,76.75,150995900,2.88,4.18,-1.51,1.25,2.78,0.92
9/30/2013,73.48,76.73,72.19,73.96,124109700,0.48,3.77,2.66,-1.22,-0.58,-1.4
8/30/2013,78.42,79,72.23,72.98,133848900,-5.44,-2.71,-0.06,-2.69,0.66,-2.16
7/31/2013,74.99,78.69,74.09,77.94,113025400,2.95,5.65,1.8,0.57,-1.35,0.52
6/28/2013,75.06,76.87,72.9,74.49,162608600,-0.57,-1.2,1.56,0.03,-0.38,0.01
5/31/2013,77.85,79.96,74.82,74.84,162295100,-3.01,2.8,2.09,2.63,-1.97,-0.91
4/30/2013,75,79.5,74.9,77.72,165085800,2.72,1.55,-2.25,0.45,0.27,0.37
3/28/2013,70.78,75.11,70.78,74.83,151456500,4.05,4.03,0.86,-0.19,0.14,1.37
2/28/2013,70.11,71.955,68.13,70.78,205455800,0.67,1.29,-0.25,0.11,-0.67,0.54
1/31/2013,68.93,70.44,67.72,69.95,152007900,1.02,5.57,0.47,0.96,-1.93,1.42
12/31/2012,72.11,72.7,67.37,68.23,198433700,-3.88,1.18,1.91,3.51,-1.85,0.88
11/30/2012,75.13,75.16,67.655,72.02,193687500,-3.11,0.78,0.47,-0.84,0.6,0.84
10/31/2012,73.8,77.6,73.63,75.02,144858200,1.22,-1.76,-0.9,3.59,-1.34,2.51
9/28/2012,72.77,75.19,72.57,73.8,121605000,1.03,2.73,0.61,1.6,-1.49,1.54
8/31/2012,74.7,74.96,71.35,72.6,163618500,-2.1,2.55,0.45,1.3,-1.33,-0.86
7/31/2012,69.6,75.24,69.15,74.43,210686500,4.83,0.79,-2.8,-0.02,1.1,0.09
6/29/2012,65.43,69.72,65.13,69.72,229264800,4.29,3.89,0.84,0.62,-1.09,0.46
5/31/2012,58.95,66.66,58.27,65.82,247098000,6.87,-6.19,-0.12,-1.06,2.08,2.32
4/30/2012,61.08,62.49,57.18,58.91,251787900,-2.17,-0.85,-0.55,-0.78,1.3,0.65
3/30/2012,59.36,61.5,58.6415,61.2,185822200,1.84,3.11,-0.47,1.14,-0.54,0.74
2/29/2012,61.79,62.63,58.21,59.08,199314500,-2.71,4.42,-1.7,0.43,-0.48,-0.01
1/31/2012,59.97,62,58.37,61.36,163577000,1.39,5.05,2.05,-0.97,-2.01,-1.43
12/30/2011,58.64,60,57.42,59.76,193606900,1.12,0.74,-0.33,1.63,0.98,2.51
11/30/2011,55.82,59.395,55.68,58.9,222113300,3.08,-0.28,-0.27,-0.45,1.86,1.49
10/31/2011,51.88,57.96,51.63,56.72,268820500,4.84,11.35,3.46,0.1,-2.16,-0.86
9/30/2011,53.2,53.55,49.935,51.9,275866100,-1.3,-7.59,-3.65,-1.72,2.04,0.26
8/31/2011,52.79,53.49,48.31,53.19,424527100,0.4,-5.99,-3.2,-2.36,3.3,-0.38
